Scope,Total_Value,LBE_Share,LBE_Count,NonLBE_Count
Civil Engineering (partial),1631744.0,0.061284122999686226,1,1
AC Paving,1196910.0,0.49870917612853094,2,1
Asphalt Grinding & Paving,1177331.0,0.9343166874906037,1,1
Trucking,1155000.0,0.48917748917748916,4,2
Waterproofing,929963.0,0.08871320686952061,1,1
Geotechnical Engineering,720000.0,0.7847222222222222,1,1
