Metric,LBE_Firms,Non_LBE_Firms
Number of Subcontractors,265.0,150.0
Total Dollar Volume,112946214.5,124920242.65
Average Contract Size,426212.13018867926,832801.6176666667
Number of Scopes Served,159.0,116.0
Market Share (%),47.48303558781112,52.51696441218887
